yyyymm,visit_cnt
201701,565243
201702,590790
201703,360782
201704,227811
201705,253359
201706,254930
201707,281263
201708,339388
201709,318682
201710,345384
201711,299247
201712,332474
201801,305127
201802,345341
201803,403413
201804,366604
201805,370222
201806,379891
201807,410337
201808,478140
201809,434595
201810,475307
201811,404256
201812,416279
201901,392814
201902,453379
201903,487623
201904,493250
201905,500413
201906,475007
201907,519132
201908,578112
201909,541350
201910,567695
201911,505369
201912,508877
202001,481681
202002,104086
202003,16595
202004,3935
202005,5124
202006,5051
202007,9738
202008,16275
202009,15307
202010,11477
202011,9174
202012,7987
202101,7346
202102,11982
202103,18980
202104,16830
202105,14221
202106,12942
202107,13469
202108,17103
202109,19144
202110,14035
202111,12472
202112,11691
